년도,(재무상태표)자산총계,(재무상태표)부채총계,(재무상태표)자본총계,(재무상태표)재고자산_상품,(재무상태표)재고자산_원재료,(재무상태표)재고자산_저장품,(재무상태표)재고자산_미착품,(재무상태표)유형자산_인테리어,(재무상태표)유형자산_공기구비품,(재무상태표)유형자산_구축물,(재무상태표)유형자산_건설중인자산,(재무상태표)유형자산_기타유형자산,(재무상태표)무형자산_소프트웨어,(재무상태표)무형자산_회원권,(재무상태표)사용권자산,(재무상태표)충당부채,(재무상태표)계약부채,(손익계산서)매출액,(손익계산서)매출원가,(손익계산서)판매비와관리비,(손익계산서)당기순이익
2010,138252874920,48818736991,89434137929,2390096000,1272674000,1586815000,1531807000,31708777000,13506295000,1616644000,563241000,0,1053480000,88739000,0,6056905560,1033750135,241642471814,-104898364973,-114790207040,17692033798
2011,185193916644,82867920126,102325996518,5369131000,1988172000,2919927000,1527137000,51225172000,19505457000,2520924000,1938784000,0,2053965000,188384000,0,7244403932,415683954,298192232167,-134353843083,-140621524237,18060465535
2012,246578810258,128142789746,118436020512,7912743000,3183409000,3486532000,1935446000,66721268000,25233298000,2993555000,5023467000,0,2837733000,188384000,0,7434946002,362481000,390962911181,-178106937397,-188084487616,18925517597
2013,301795547950,159928001980,141867545970,7413849000,3028070000,3894556000,2651115000,3858023000,79356029000,31047560000,197991000,4197881000,5007458000,540208000,0,7743362445,788940986,482176754845,-214722097024,-235350706721,25614656081
2014,388479398266,219608963165,168870435101,16978804000,4225036000,7337907000,5454641000,5278737000,104913208000,42403226000,124227000,7199300000,5580692000,540208000,0,10465875303,1299556813,617094821787,-272185843151,-304693725673,30770110333
2015,449270265771,258373059336,190897206435,10690990000,4748716000,5301998000,3417839000,6070122000,116377949000,52992368000,28317000,9063358000,7520434000,540208000,0,14327575427,2172776276,773900207510,-350752780987,-376006140747,28286458919
2016,507055040845,259810790444,247244250401,18001485000,6589353000,5667092000,4823387000,0,0,5926509000,175198617000,4923070000,12796858000,724308000,0,17545098613,3482287965,1002814318251,-444818958214,-472731490093,65250646249
2017,601788275232,279190476713,322597798519,13341864000,8327811000,7716755000,4545775000,0,0,5660964000,195673841000,9635537000,15332013000,724308000,0,21923084058,4661740811,1263460247427,-562633756973,-586420189158,90515859792
2018,773041527135,352875260768,420166266367,16772664000,9065425000,9606790000,5560657000,0,0,5282419000,212019029000,8521011000,17272439000,724308000,0,28132562987,102331768643,1522370701555,-674293002704,-705220811296,111992362270
2019,1250842631933,762643090795,488199541138,29575019000,10819387000,8743826000,5678576000,0,0,5339025000,227818891000,9564085000,20223283000,724308000,452249661000,44759864743,136448061438,1869559758459,-834276360182,-860181844002,132804746780
